i,env.env.aviary.elapsed_time,agent,act,rewards,termination,truncation,info,model,num_agents,posx,posy,posz,all_start_pos,agent_start_pos,obs
961,0.36666666666666664,player_2,[ 0.04331129  0.08194043 -0.56532383  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.4543080584767323,-1.5501144066876538,1.624904796723432,"[[-1.451395   -1.54076301  1.74502399]
 [ 0.29493243 -1.80777087  0.58773193]
 [-1.31942185 -0.149091    1.19853105]]",[-1.31942185 -0.149091    1.19853105],"[-4.55303808e-01  1.92557951e-01 -4.79043820e+00  8.10163699e-03
  4.60225093e-03 -4.63324798e-01  8.92884206e-04 -7.29381480e-02
  1.58295006e-01 -1.45430806e+00 -1.55011441e+00  1.62490480e+00
 -1.59379244e-01  3.30714166e-01 -1.15384698e+00  0.00000000e+00
  7.78098219e-02  1.00077620e-01  5.29168592e-01  4.87157248e-01
  2.91306246e-03  9.35140133e-03  1.20119190e-01]"
962,0.175,player_2,[-0.14028648  0.0435556   0.83654505  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,0.875938412770549,-1.8618657587924912,0.5149119620141973,"[[ 0.87594166 -1.86183838  0.65109136]
 [-1.0563833  -0.96558848  1.33071668]
 [ 1.33945692  0.14375777  0.13840941]]",[1.33945692 0.14375777 0.13840941],"[-4.90300675e-02  3.55835290e-02  1.21648019e+00  1.10146909e-02
 -2.71957007e-03  1.73139137e-01 -4.41597193e-03 -1.78362814e-02
 -1.57295944e+00  8.75938413e-01 -1.86186576e+00  5.14911962e-01
  3.04483101e-02 -2.68155277e-01  1.91787934e+00  0.00000000e+00
  6.36028572e-02  5.18374807e-02  1.53773758e-01  1.32037085e-01
  3.24392402e-06  2.73762807e-05  1.36179397e-01]"
963,0.008333333333333333,player_2,[ 0.49350128 -0.1526974  -0.89251506  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,1.1222072927775089,-0.17023233619498024,1.9621455422097909,"[[ 1.12220729e+00 -1.70232336e-01  1.96230718e+00]
 [ 7.09917785e-01 -8.38578533e-01  1.10406553e-03]
 [ 9.25183294e-01  8.47643643e-01  1.50937718e+00]]",[0.92518329 0.84764364 1.50937718],"[ 2.00832046e-02  1.59515972e-02 -5.83457900e-02  8.36719393e-05
  6.64751591e-05 -2.43104678e-04  2.57885119e-06 -3.24598667e-06
 -3.87942085e-02  1.12220729e+00 -1.70232336e-01  1.96214554e+00
  4.10451084e-01  1.39629617e-01 -1.52870727e+00  0.00000000e+00
  1.58453125e-01  1.94493550e-01  4.80611992e-02  3.25684769e-02
  0.00000000e+00  0.00000000e+00  1.61642536e-04]"
964,0.6916666666666667,player_2,[ 0.05495987  0.12407302 -1.11190104  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-0.4330008594556423,0.6470383852050197,0.9220709073718044,"[[-0.42208765  0.65555793  0.98497695]
 [ 1.37679378 -1.21780689  1.71286437]
 [-1.11792502  1.62348531  0.20183127]]",[-1.11792502  1.62348531  0.20183127],"[ 1.63154177e-01 -4.13807972e-01 -3.89023957e+00  1.35272745e-02
  7.06007877e-03 -8.46972731e-01  2.37916337e-03 -5.49368297e-02
 -2.15763321e-01 -4.33000859e-01  6.47038385e-01  9.22070907e-01
  3.82724740e-02 -7.09221512e-02 -9.38772440e-01  1.00000000e+00
  9.70918470e-01  9.26739704e-01  8.71906642e-01  8.52330930e-01
  1.09132058e-02  8.51954965e-03  6.29060397e-02]"
965,0.3333333333333333,player_2,[-0.33975783 -0.11195627 -2.36389494  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,0.5765446051155358,1.2572188883184467,0.516772493782712,"[[ 0.57718244  1.25836721  0.50783761]
 [ 1.73664873 -1.77165933  0.47424913]
 [-1.94045383 -1.24485907  1.16373983]]",[-1.94045383 -1.24485907  1.16373983],"[-7.47814296e-01  4.72388866e-01 -2.04902500e+00  1.74555122e-02
  9.44081110e-03 -5.95726473e-01 -4.23148422e-03 -1.13028068e-02
  4.76721964e-01  5.76544605e-01  1.25721889e+00  5.16772494e-01
 -4.16443765e-01  2.89817482e-01  3.39366496e-04  0.00000000e+00
  8.00217259e-02  7.51799068e-02  4.52890937e-01  4.10560638e-01
  6.37838024e-04  1.14832218e-03 -8.93488610e-03]"
966,0.31666666666666665,player_2,[-0.06628258 -0.02987741  1.25364101  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,1.0880627052463259,-0.7511128645240569,0.6753201018900158,"[[ 1.08812395 -0.75073618  1.10581666]
 [-1.91774675  0.47863396  0.70595818]
 [ 1.90864166 -1.19346415  0.45426356]]",[ 1.90864166 -1.19346415  0.45426356],"[-8.83732131e-02  5.75924947e-03  7.84088297e-01  4.12505207e-03
 -3.60373378e-03  3.44988060e-01 -1.10436953e-02 -1.35995404e-02
 -2.77656813e+00  1.08806271e+00 -7.51112865e-01  6.75320102e-01
  3.35567519e-02 -8.37360620e-02  6.42457545e-01  0.00000000e+00
  7.96613358e-02  9.11131158e-02  6.92126035e-02  5.01349477e-02
  6.12433361e-05  3.76687389e-04  4.30496554e-01]"
967,0.675,player_2,[ 0.01035257 -0.0975994   1.96696377  1.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-0.6847780243420778,-0.7490749694323223,0.0032421460121328724,"[[-0.6856248  -0.7403764   0.2199724 ]
 [-1.63349522  0.73359323  0.24080926]
 [-1.80949778 -0.67959021  1.21725802]]",[-1.80949778 -0.67959021  1.21725802],"[-6.94886893e-02 -2.52690639e-02  1.39598916e+00 -1.16083159e-03
  2.05036821e-03 -1.78392297e-01  9.17838746e-03 -1.43674628e-02
 -1.96395356e+00 -6.84778024e-01 -7.49074969e-01  3.24214601e-03
 -3.05026397e-02  6.52016848e-02  1.60514355e+00  0.00000000e+00
  5.88546877e-02  6.20425052e-02  7.76250826e-02  8.61456682e-02
 -8.46771085e-04  8.69857421e-03  2.16730251e-01]"
968,10.041666666666666,player_2,[0.14516163 0.05911236 0.75267363 0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",False,True,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.2368080415858878,0.8227860380901212,0.789640287741414,"[[-0.61480802  0.98659651  1.22489834]
 [-0.88492478  0.42201315  0.08629615]
 [ 1.00195778  1.84365981  1.8439851 ]]",[1.00195778 1.84365981 1.8439851 ],"[ 1.38051630e-02  2.22947339e-01  3.34492164e-01 -1.40365468e-03
  2.25100097e-03 -1.03335211e+00 -2.88044472e-02 -2.60146203e-02
 -1.28930153e-01 -1.23680804e+00  8.22786038e-01  7.89640288e-01
 -9.01285931e-02 -2.48167887e-01  2.21579647e+00  0.00000000e+00
  8.67664836e-02  4.83250482e-02  3.17983764e-01  2.85125820e-01
  6.22000018e-01  1.63810475e-01  4.35258055e-01]"
969,10.041666666666666,player_2,[-0.02600413  0.19138101  0.0366287   0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",False,True,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,-1.2134644260314138,0.24512120106984642,0.30522151771080974,"[[-1.03064991  0.28346964  0.15336993]
 [-0.87420107  0.94035979  1.940077  ]
 [ 0.7983144   1.30370118  1.71661138]]",[0.7983144  1.30370118 1.71661138],"[ 0.11564577 -0.20265281  0.94152464  0.0072392  -0.00344777 -0.92871275
  0.00313577 -0.02277102 -0.41576208 -1.21346443  0.2451212   0.30522152
 -0.03039023  0.21222271  1.13618386  0.          0.05594535  0.07274254
  0.09775836  0.13447214  0.18281452  0.03834844 -0.15185159]"
970,0.3,player_2,[ 0.29052743  0.22139116 -0.59107757  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,1.1898311942980193,-0.47895664332218324,1.8892835498958696,"[[ 1.19027165 -0.47197715  1.91031173]
 [-0.39785451 -1.39794278  0.39341494]
 [-0.07320357 -0.19804045  1.71103251]]",[-0.07320357 -0.19804045  1.71103251],"[-4.16034272e-01 -3.23706519e-01  2.51546140e+00  2.00700240e-02
 -9.79438896e-03 -1.78532624e-01  3.33399926e-03 -5.12881375e-02
  2.22702807e-01  1.18983119e+00 -4.78956643e-01  1.88928355e+00
  1.74185544e-01 -1.21163130e-01  1.56422424e+00  1.00000000e+00
  9.52753444e-01  9.71348330e-01  6.16681964e-01  6.28932487e-01
  4.40456448e-04  6.97949666e-03  2.10281809e-02]"
971,0.5083333333333333,player_2,[ 0.00884584  0.56767267 -0.11301138  0.        ],"{'player_0': -31921.831751279933, 'player_1': -29961.26302662123, 'player_2': -29316.005995000174}",True,False,{},C:/projects/pyflyt-hover/apps/labanca/models/pyflyt_hover_20231204-054100.zip,3,1.3228293191579872,-1.4154101958739558,0.006062778125465844,"[[ 1.32291397 -1.41474566  1.13736133]
 [-0.87040493  0.42379695  0.20985448]
 [ 1.44920751  1.04088451  1.35577179]]",[1.44920751 1.04088451 1.35577179],"[-3.95694200e-02 -9.26537778e-02 -8.01666126e-01 -1.98266115e-03
 -7.98308062e-03  4.22719054e-01 -3.73734758e-02  7.14519795e-03
 -4.48937329e+00  1.32282932e+00 -1.41541020e+00  6.06277813e-03
 -6.46183565e-02  1.23634994e-01 -5.11640668e-01  0.00000000e+00
  8.34714141e-02  9.56196265e-02  6.17397759e-02  7.99434895e-02
  8.46497127e-05  6.64537728e-04  1.13129855e+00]"
